area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Plot  Area,Ready To Move,Kengeri,4 BHK,Goardth,2894,1,2,245,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,2,2,138,13.0176937,77.5555009
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,2,2,17,12.8009043,77.7114908
Plot  Area,Ready To Move,Kothanur,3 BHK,BDensar,2400,2,1,150,13.0613601,77.6493895
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,3,1,43,13.0084501,77.6581724
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,50,12.8824524,77.6024627
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,2,3,229,12.9945793,77.5503967
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,66.78,13.2483502,77.7134377
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,1,75,13.0666526,77.591967
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,3,0,51.91,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,2,45.9,12.8487599,77.648253
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cetattu,2497,3,2,140,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,3,1,64,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,4,3,120,13.054713,77.6339258
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,2,1,200,13.0195427,77.6831272
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,5611.5,3,1,477,13.0382184,77.5919
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,13.2483502,77.7134377
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,1,65,12.9678103,77.6715478
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,3,1,78,13.016672,77.6548126
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,1,0,110,13.0330515,77.5332233
Plot  Area,Ready To Move,Sarjapur,3 BHK,Inensba,1600,3,2,75,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,2,1,16.5,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,2,1,83,12.8899174,77.6396808
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,57,12.8856913,77.5526564
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,65,13.2483502,77.7134377
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1073.5,5,3,54.005,12.9104062,77.5951099
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,3,2,85.05,12.9590406,77.5250913
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,2,1,213,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3,2,105,12.9047595,77.6759172
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2,1,43.76,13.0239276,77.6923621
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3,3,110,13.0613601,77.6493895
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,4,1,35,12.9229728,77.4842926
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,2,1,46.74,13.0169075,77.7207063
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4,1,91.31,12.9466619,77.5300896
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,58,13.0155506,77.7630344
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,2,0,235,12.9604735,77.5593446
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,3,2,50,12.8773486,77.6028031
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,3,1,30.6,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,2,1,135,13.054713,77.6339258
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3,2,145,13.054713,77.6339258
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,3,1,32,12.8816077,77.6448181
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,2,1,150,12.9598176,77.5335655
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,2,1,175,13.0356488,77.574775
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1242.5,2,3,43.49,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,75,12.8601269,77.6053051
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,64.5,12.8487599,77.648253
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,1,3,60,12.8487599,77.648253
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,70,12.9194294,77.6169759
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,2,2,11,12.7751249,77.7709216
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,3,2,64.5,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,1,1,56,12.8487599,77.648253
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,1,1,65,12.9850987,77.6631173
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,2,0,67,13.0027353,77.5703253
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,3,2,36,12.8487599,77.648253
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,3,3,51,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3,2,155,13.0514799,77.5933559
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,2,2,145,13.054713,77.6339258
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,2,2,110,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,2,52,12.8487599,77.648253
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2,2,46,12.8487599,77.648253
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1277.5,2,2,56.8,13.007516,77.695935
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2,2,52,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2,1,80,12.9876393,77.7377718
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,3,2,60,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,2,98,13.1006982,77.5963454
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,2,3,56,12.9116225,77.6388622
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2,1,47.6,12.9963995,77.7614229
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,3,1,54,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2,2,48.7,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3,2,88,13.103973,77.6167721
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,3,3,87,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3,1,65,13.079198,77.7136366
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,2,2,78.29,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,3,2,65,12.9784134,77.5427194
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,3,2,27,12.8487599,77.648253
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,2,2,98.29,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,2,2,125,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,4,2,90,12.9357366,77.624081
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2,1,44.28,12.9239386,77.6396966
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1630,2,1,74.82,13.2483502,77.7134377
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2,3,72,12.9136133,77.595695
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,3,56.4,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,3,1,55,12.9081751,77.4928309
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,1,2,42,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,1,2,110,13.0221416,77.6403368
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3,1,129,12.9709537,77.5373851
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,2,2,16.45,12.8009043,77.7114908
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,2,1,16.45,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,2,84,13.0467537,77.6321873
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,3,2,72.5,12.9859964,77.7128545
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,3,2,40,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,1,2,70,13.0613601,77.6493895
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,2,2,185,13.0082113,77.652778
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,3,0,20,12.8009043,77.7114908
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,3,2,93,12.9136133,77.595695
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,3,1,63,12.8487599,77.648253
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,2,2,170,13.0503251,77.6060803
Plot  Area,Ready To Move,Ambedkar Nagar,4 BHK,Thessrm,2900,2,2,300,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,2,2,75.5,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,4,1,43.9,12.932582,77.5162034
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,2,59.9,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,1,3,49.2,12.9239386,77.6396966
Built-up  Area,Ready To Move,Attibele,4 BHK,Natic T,1600,3,3,52.8,12.7751249,77.7709216
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,3,1,61.58,13.0351224,77.631944
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,3,1,26,13.0712823,77.5061497
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,2,1,120,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3,1,132,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,3,2,80.9,12.9377243,77.7280705
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,2,1,91.45,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,2,55,12.7756195,77.6324661
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,1,100,12.9136133,77.595695
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,2,3,78.8,12.8401734,77.6595099
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2,2,94,13.0082277,77.6941931
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2,0,40,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,50,12.9582324,77.7098778
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2,1,25.88,12.8009043,77.7114908
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2,1,51.25,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2,0,45,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,2,98.2,13.0382184,77.5919
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,4,3,50,12.9107357,77.5829631
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,3,1,75,13.0784743,77.6068938
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,47,13.0027048,77.6346165
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,2,3,120,13.0360109,77.5695288
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3,3,104,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,3,3,29.5,12.8810223,77.6490068
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2,3,70,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,1,3,100,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,105,13.0613601,77.6493895
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,4,1,45,13.0311884,77.5753526
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,3,1,26,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,2,1,95,13.0569525,77.5209467
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,3,2,65,12.8633887,77.6130112
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3,2,150,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2,2,100,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,2,2,67,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,75,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,3,1,83.09,13.0351224,77.631944
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,2,65,12.8487599,77.648253
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,2,2,415,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,52,13.0200235,77.6092887
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,3,1,55,12.8089587,77.5097006
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,2,1,95,12.988867,77.7204442
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,0,74,12.913332,77.5783216
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,6,2,215,12.9778793,77.6246697
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,58,12.9963995,77.7614229
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,1,45,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,3,2,230,13.0170955,77.4829741
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,3,3,40,12.9004917,77.6039129
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,3,1,76,12.8658068,77.5911918
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,3,150,12.9136133,77.595695
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,2,1,21.53,12.8856913,77.5526564
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,2,2,49.36,13.0544346,77.5593269
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,1,150,12.9776188,77.5313254
Plot  Area,18-Dec,Suragajakkanahalli,3 BHK,PrhyaK ,11,2,0,74,12.7361919,77.6654422
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,1,2,43.25,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,5,2,77,12.9058923,77.675465
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,2,1,75,13.0816353,77.6182669
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,2,57,13.0195427,77.6831272
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,2,2,28.35,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,1,1,335,12.9624481,77.6463772
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,2,50,12.975608,77.5553564
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,89.04,13.0716969,77.6193949
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,52,13.037077,77.6413572
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,5,2,11.66,12.8009043,77.7114908
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,0,60,12.91241,77.591056
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,39,13.007516,77.695935
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,3,0,60,12.9377243,77.7280705
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,2,2,212,13.0382184,77.5919
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,3,1,65,12.9504037,77.6033713
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,1,2,275,12.9806131,77.5581149
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,3,1,46.8,12.8856188,77.6252418
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,2,3,29.9,12.9104062,77.5951099
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,2,2,95,12.8487599,77.648253
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,2,1,77,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,1,115,13.0720352,77.6333905
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,2,90,12.9968412,77.6928386
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,1,44,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,40,12.8856913,77.5526564
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,121,12.9709537,77.5373851
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,94,12.9136133,77.595695
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,1,45.79,12.932582,77.5162034
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,2,33,12.8778283,77.4972385
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,2,1,108,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,3,53,12.8401734,77.6595099
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,3,2,58,12.9398513,77.5740326
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,3,2,32,12.8505644,77.6466948
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,4,2,55,12.9686859,77.6966093
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,120,12.9193621,77.6214458
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,45,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,2,2,161,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,2,2,230,12.9963995,77.7614229
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,3,2,82,12.9136133,77.595695
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,1,410,12.9945793,77.5503967
