sl_no,hospital_name,taluk,district,search_address,lat,lon
69,Citi Hospital,Hosapete,Ballari,"Citi Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
70,Gugri Nursing Home,Hosapete,Ballari,"Gugri Nursing Home, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
71,Sri Vinayak Hospital,Hosapete,Ballari,"Sri Vinayak Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
72,Srushruta Hospital,Hosapete,Ballari,"Srushruta Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
73,Amareshwara Hospital,Hosapete,Ballari,"Amareshwara Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
74,Dipali Hospital,Hosapete,Ballari,"Dipali Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
75,Kls Hospital,Hosapete,Ballari,"Kls Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
76,Abhishek Hospital,Hosapete,Ballari,"Abhishek Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
77,Leena Multi Specaility Hospital,Devanahalli,Bengaluru Rural,"Leena Multi Specaility Hospital, Devanahalli, Bengaluru Rural, Karnataka, India",13.242605,77.7128199
78,Devanahalli Health Services,Devanahalli,Bengaluru Rural,"Devanahalli Health Services, Devanahalli, Bengaluru Rural, Karnataka, India",13.2417527,77.7031204
79,Suraksha Health Services,Devanahalli,Bengaluru Rural,"Suraksha Health Services, Devanahalli, Bengaluru Rural, Karnataka, India",13.2430894,77.7048978
80,Dhruva Nursing Home,Hosakote,Bengaluru Rural,"Dhruva Nursing Home, Hosakote, Bengaluru Rural, Karnataka, India",13.0721692,77.7922176
81,M S Ramaiah Harsha Hospital,Nelamangala,Bengaluru Rural,"M S Ramaiah Harsha Hospital, Nelamangala, Bengaluru Rural, Karnataka, India",13.1019659,77.3884145
82,Sri Rav'S Somashekhar Hospital,Nelamangala,Bengaluru Rural,"Sri Rav'S Somashekhar Hospital, Nelamangala, Bengaluru Rural, Karnataka, India",13.1019659,77.3884145
83,Sharada Hospital,Nelamangala,Bengaluru Rural,"Sharada Hospital, Nelamangala, Bengaluru Rural, Karnataka, India",13.0969283,77.3973372
84,New Manasa Hospital,Devanahalli,Bengaluru Rural,"New Manasa Hospital, Devanahalli, Bengaluru Rural, Karnataka, India",13.2485966,77.7160664
85,Nandi Multi Speciality Hospital,Dodda Ballapur,Bengaluru Rural,"Nandi Multi Speciality Hospital, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.305089,77.545201
86,Manasa Hospital,Dodda Ballapur,Bengaluru Rural,"Manasa Hospital, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.3036185,77.5444552
87,Sri Ganga Bhagath Singh Chandra Shekhar Azad Hospital,Dodda Ballapur,Bengaluru Rural,"Sri Ganga Bhagath Singh Chandra Shekhar Azad Hospital, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.282446,77.550139
88,Sri Rama Hospital,Dodda Ballapur,Bengaluru Rural,"Sri Rama Hospital, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.29209,77.54174
89,Sarathi Puttaspathre,Dodda Ballapur,Bengaluru Rural,"Sarathi Puttaspathre, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.3066213,77.5421965
90,Columbia Asia Hospital,Dodda Ballapur,Bengaluru Rural,"Columbia Asia Hospital, Dodda Ballapur, Bengaluru Rural, Karnataka, India",13.2973,77.538399
91,Ovum Nicu Hospital,Hosakote,Bengaluru Rural,"Ovum Nicu Hospital, Hosakote, Bengaluru Rural, Karnataka, India",13.0721692,77.7922176
92,Siliconcity Hospitals,Hosakote,Bengaluru Rural,"Siliconcity Hospitals, Hosakote, Bengaluru Rural, Karnataka, India",13.068656,77.781311
93,Shreyas Maternity Home,Hosakote,Bengaluru Rural,"Shreyas Maternity Home, Hosakote, Bengaluru Rural, Karnataka, India",13.0745111,77.7820636
94,Shivapriya Maternity Home,Hosakote,Bengaluru Rural,"Shivapriya Maternity Home, Hosakote, Bengaluru Rural, Karnataka, India",13.0729023,77.7855366
95,Lakshmi Hospital,Bengaluru North,Bengaluru Urban,"Lakshmi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0248956,77.5920463
97,Republic Hospital,Bengaluru North,Bengaluru Urban,"Republic Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.964109,77.598143
98,Jyothi Nursing And Maternity Home,Bengaluru North,Bengaluru Urban,"Jyothi Nursing And Maternity Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9578853,77.5337734
99,Vijayashree Hospitals,Bengaluru North,Bengaluru Urban,"Vijayashree Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8578496,77.589288
100,Vitals Diagnostic And Day Care,Bengaluru North,Bengaluru Urban,"Vitals Diagnostic And Day Care, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
103,Athreya Hospital,Bengaluru North,Bengaluru Urban,"Athreya Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
104,Nagappa Hadli Hospital,Bengaluru North,Bengaluru Urban,"Nagappa Hadli Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
105,Amma Hospital,Bengaluru North,Bengaluru Urban,"Amma Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.7097741,77.6981943
106,Ovum Hospitals,Bengaluru North,Bengaluru Urban,"Ovum Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
107,Dr.Sunny Medical Centre,Bengaluru North,Bengaluru Urban,"Dr.Sunny Medical Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9269332,77.669889
108,Womens Speaciality Polyclinic And Diagnostic Center,Bengaluru North,Bengaluru Urban,"Womens Speaciality Polyclinic And Diagnostic Center, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0031528,77.6686816
109,Sri Laxmi Hospital,Bengaluru North,Bengaluru Urban,"Sri Laxmi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8503749,77.6553109
110,Anuraadha Womens Clinic,Bengaluru North,Bengaluru Urban,"Anuraadha Womens Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0378873,77.5741337
111,Varshi Clinic,Bengaluru North,Bengaluru Urban,"Varshi Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9990616,77.4425728
112,Bhagwan Mahaveer Jain Hospital,Bengaluru North,Bengaluru Urban,"Bhagwan Mahaveer Jain Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.994858,77.593553
113,Optima Arthritis And Rheumatology Clinic,Bengaluru North,Bengaluru Urban,"Optima Arthritis And Rheumatology Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
114,Apollo Clinic Bellandur,Bengaluru North,Bengaluru Urban,"Apollo Clinic Bellandur, Bengaluru North, Bengaluru Urban, Karnataka, India",12.926274,77.676561
115,Apollo Medical Centre A Unit Of Ahll,Bengaluru North,Bengaluru Urban,"Apollo Medical Centre A Unit Of Ahll, Bengaluru North, Bengaluru Urban, Karnataka, India",12.934007,77.616279
116,Apollo Clinic Hsr Layout,Bengaluru North,Bengaluru Urban,"Apollo Clinic Hsr Layout, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9131296,77.6367263
117,Apollo Health And Lifestyle Limited,Bengaluru North,Bengaluru Urban,"Apollo Health And Lifestyle Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
118,"Apollo Medical Centre A Unit Od Apollo Health And Life Style Ltd 673/A Varthur Main Road, Near Kundalahalli Signal Opp Sriram Samrudhi Apts,Whitefield, Bangalore 560066",Bengaluru North,Bengaluru Urban,"Apollo Medical Centre A Unit Od Apollo Health And Life Style Ltd 673/A Varthur Main Road, Near Kundalahalli Signal Opp Sriram Samrudhi Apts,Whitefield, Bangalore 560066, Bengaluru North, Bengaluru Urban, Karnataka, India",12.95267375,77.74423337
119,Apollo Clinic Electronic City,Bengaluru North,Bengaluru Urban,"Apollo Clinic Electronic City, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8478071,77.6631929
120,Apollo Clinic A Unit Of Apollo Health And Lifestyle Limited,Bengaluru North,Bengaluru Urban,"Apollo Clinic A Unit Of Apollo Health And Lifestyle Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
121,Apollo Clinic,Bengaluru North,Bengaluru Urban,"Apollo Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.926274,77.676561
124,Rajashri Grandhim Speciality Hospital,Bengaluru North,Bengaluru Urban,"Rajashri Grandhim Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.895332,77.607624
125,Optima Arthritis Rheumatology Clinic,Bengaluru North,Bengaluru Urban,"Optima Arthritis Rheumatology Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
126,Health Plus Diagnostic And Poly Clinic,Bengaluru North,Bengaluru Urban,"Health Plus Diagnostic And Poly Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0218874,77.6993843
127,Sagar Chandramma Hospitals,Bengaluru North,Bengaluru Urban,"Sagar Chandramma Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9484614,77.574725
128,Aditi Hospital,Bengaluru North,Bengaluru Urban,"Aditi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.708861,77.698587
129,Akeso Health Care Pvt Ltd,Bengaluru North,Bengaluru Urban,"Akeso Health Care Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9226558,77.571882
130,Sunny Medical Centre,Bengaluru North,Bengaluru Urban,"Sunny Medical Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9269332,77.669889
131,Vagus Super Speciality Hospital Pvt Ltd,Bengaluru North,Bengaluru Urban,"Vagus Super Speciality Hospital Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",13.008473,77.568338
132,Dr.Ramesh Hospital,Bengaluru North,Bengaluru Urban,"Dr.Ramesh Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9067767,77.5634331
133,Kids Clinic India Private Limited,Bengaluru North,Bengaluru Urban,"Kids Clinic India Private Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
135,Saraswathi Poly Clinic,Bengaluru North,Bengaluru Urban,"Saraswathi Poly Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",13.1001942,77.5955124
136,Devagiri Multyspeciality Surgical Center,Bengaluru North,Bengaluru Urban,"Devagiri Multyspeciality Surgical Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
137,Acharya Tulsi Jain Hospital,Bengaluru North,Bengaluru Urban,"Acharya Tulsi Jain Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0218319,77.5568188
138,C R Medical Center,Bengaluru North,Bengaluru Urban,"C R Medical Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.97747,77.57566
139,Sanjeevini Specialyty Health Care And Diagnostic Center,Bengaluru North,Bengaluru Urban,"Sanjeevini Specialyty Health Care And Diagnostic Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.910683,77.521065
140,Sriraksha Health And Clinical Lab,Bengaluru North,Bengaluru Urban,"Sriraksha Health And Clinical Lab, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0171489,77.71076956
141,Eswar Women And Day Care Hospital,Bengaluru North,Bengaluru Urban,"Eswar Women And Day Care Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.065872,77.599336
142,Nyak Hospitala,Bengaluru North,Bengaluru Urban,"Nyak Hospitala, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
143,Cm Fertility Centre Group Of Cm Gynaec Research Associates,Bengaluru North,Bengaluru Urban,"Cm Fertility Centre Group Of Cm Gynaec Research Associates, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
144,Acharya Tulasi Jain Hospital,Bengaluru North,Bengaluru Urban,"Acharya Tulasi Jain Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0218319,77.5568188
145,Bhagavan Mahaveer Jain Hospital,Bengaluru North,Bengaluru Urban,"Bhagavan Mahaveer Jain Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.944151,77.537051
146,Nandi Clinic,Bengaluru North,Bengaluru Urban,"Nandi Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0555036,77.6082784
147,Bhavana Nursing Home,Bengaluru North,Bengaluru Urban,"Bhavana Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.7102261,77.6995575
148,Kids Clinic India Pravite Limited,Bengaluru North,Bengaluru Urban,"Kids Clinic India Pravite Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
149,Kids Clinic India Pvt Ltd,Bengaluru North,Bengaluru Urban,"Kids Clinic India Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
150,Shushrusha Clinic,Bengaluru North,Bengaluru Urban,"Shushrusha Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0629537,77.5722652
151,Geetha Maternity And Surgical Centre,Bengaluru North,Bengaluru Urban,"Geetha Maternity And Surgical Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9223326,77.5202203
152,Venues Hospital,Bengaluru North,Bengaluru Urban,"Venues Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9720843,77.6807775
153,Anjani Womens Day Care Hospital,Bengaluru North,Bengaluru Urban,"Anjani Womens Day Care Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.018839,77.647172
155,Women Speciyality,Bengaluru North,Bengaluru Urban,"Women Speciyality, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0259404,77.6670331
156,Sri Srinivasa Nursing Home,Bengaluru North,Bengaluru Urban,"Sri Srinivasa Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9965567,77.6220219
157,Sharada Diaganostic Center,Bengaluru North,Bengaluru Urban,"Sharada Diaganostic Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9902,77.519651
158,Kids Clinic India Pvt Ltd Cloudnine Hospital,Bengaluru North,Bengaluru Urban,"Kids Clinic India Pvt Ltd Cloudnine Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9879688,77.7319753
159,Sri Ram Nursing Home,Bengaluru North,Bengaluru Urban,"Sri Ram Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.94315798,77.586944
161,Lsis Medicare And Research Center,Bengaluru North,Bengaluru Urban,"Lsis Medicare And Research Center, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0268548,77.6227841
162,Essentialhospital,Bengaluru North,Bengaluru Urban,"Essentialhospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9749016,77.5095487
163,Aryan Multi Speciality Hospital,Bengaluru North,Bengaluru Urban,"Aryan Multi Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9190968,77.6382137
164,Lakshmi Nursing Home,Bengaluru North,Bengaluru Urban,"Lakshmi Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9411455,77.74623
166,Jeevika Hosptials Pvt Ltd,Bengaluru North,Bengaluru Urban,"Jeevika Hosptials Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.965949,77.702566
167,Bharath Nursing Home,Bengaluru North,Bengaluru Urban,"Bharath Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9317886,77.5758846
168,Subbiah Hospital,Bengaluru North,Bengaluru Urban,"Subbiah Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.029976,77.5605068
169,P.M.Santosha Hospital (Unit Of P.M.Santosha Charitable Hospital),Bengaluru North,Bengaluru Urban,"P.M.Santosha Hospital (Unit Of P.M.Santosha Charitable Hospital), Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
170,Bhoomi Diagnostics Center,Bengaluru North,Bengaluru Urban,"Bhoomi Diagnostics Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
171,Bhoomi Diagnostics,Bengaluru North,Bengaluru Urban,"Bhoomi Diagnostics, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
173,Excelcare Hospita  A Unit Of Excelcare Health Alliance Llp,Bengaluru North,Bengaluru Urban,"Excelcare Hospita  A Unit Of Excelcare Health Alliance Llp, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
